U_Code,NP_Code,NP_Name
5,343,Черемховское с.
5,344,Чернокоровское с.
5,345,Четкаринское с. (Четкаринская сл.)
5,346,Чечулинское с.
5,347,Шаблишское с. (Шаблишская сл.)
5,348,Шипицинское с.
5,349,Шутинское с.
5,350,Щербаковское с. (Щербаковская сл.)
5,351,Щилкинское с.
5,352,"Юрмыцкое (Юрмытское) с. (Юрмытская, Юрмыцкая сл.)"
5,353,Яланское с.
5,354,Яр д.
6,355,Александровская вол.
6,356,Александровский з.
6,357,Алмазское с.
6,358,Алтыновское с.
6,359,Арийское с.
6,360,Артинский з.
6,361,Атигский з.
6,362,"Бисертское с. (Бисертская кр., Афанасьевское с.)"
6,363,Ачитское с. (Ачитская кр.)
6,364,Бакряжское с.
6,365,Бисертский з.
6,366,Больше-Карзинское с.
6,367,Больше-Тавринское с.
6,368,Бреховское с.
6,369,Буткеевское с.
6,370,Быковское с.
6,371,Верхне-Сергинский з. (Сергинский)
6,372,Верх-Тисинское с.
6,373,Горкинское с.
6,374,Дружино-Бардымское с.
6,375,Зыряновская сл.
6,376,Ильчигуловское с.
6,377,Инчигуловское с.
6,378,Иргинское с.
6,379,Каргинское с.
6,380,Карпинское с.
6,381,Киргишанское с. (Киргишанская кр.)
6,382,Кленовское с. (Кленовская кр.)
6,383,"Ключевское с. (Ключи, Златоустовское)"
6,385,Красноуфимск г.
6,386,Криулинское с.
6,387,Манчажское с.
6,388,Мартьяновское с.
6,389,Михайловский з.
6,390,Молебский з.
6,391,Мосинское с.
6,392,Мостовское с.
6,393,Нижне-Потамское с.
6,394,Нижнесергинский з. (Нижне-Сергинское с.)
6,395,Ново-Златоустовское с. (Новое)
6,396,Нязепетровский з.
6,397,Петро-Павловское с.
6,398,Порозовское с.
6,399,Поташинское с. (Поташки)
6,400,Пристанинское с. (Пристань)
6,401,Романова д. (прих. Петропавл. с.)
6,402,Рыбинское с.
6,403,Савиновское с.
6,404,Сажинское с.
6,405,Сакинское с.
6,406,Саранинский з.
6,407,Сарсы-Вторые с.
6,408,Советинское с.
6,409,Сокольское с. (Сокольи Горы)
6,410,Сорокинская пристань
6,411,Староартинское с.
6,412,Староуткинский пос.
6,413,Суксунский з.
6,414,Суксунское с.
6,415,"Сухановское с. (Суханова, Сухановка д.)"
6,416,Сылвинский з. (Сылвинское с.)
6,417,Сыринское с.
6,418,Тисовский з.
6,419,Торговижское с. (Торговское)
6,420,Тохтаревское с.
6,421,Тюйно-Озерское с.
6,422,Тюльгашинское с.
6,423,Тюшевской з.
6,424,Утинское с.
6,425,Уткинский з.
6,426,Шайтанский з.
6,427,Шемахинский з.
6,428,Ялымское с.
7,429,Антонкина д.
7,430,Ванькина д.
7,431,Илимская пристань (с.)
7,432,Казаева д.
7,433,Касылтаева д.
7,434,Кипчакова д.
7,435,Крюковское с.
7,436,Кунгур г.
7,437,Ослянская пристань (с.)
7,438,Салянка д.
7,439,Серебрянский з.
7,440,Татарский таз д.
7,441,Ураскова д.
7,442,Урминское с.
8,443,Золотые промыслы с.
8,444,Калтаева д.
8,445,Куянова д.
8,446,Яныч д.
9,447,Растесское с.
10,448,Андроновское с.
10,449,Андрюшинский пос.
10,450,Ашмарка д.
10,451,Бесихина д.(прих.Благовещ.с.)
10,452,Благовещенская Слобода с.
10,453,Верхне-Пелымское с.
10,454,Владимировское (Тонкогривское) с.
10,455,Воргинское с.
10,456,Галактионовское с.
10,457,Гаринское с.
10,458,Гришкинский пос.
10,459,Давыдковское с.
10,460,Дымковское с.
10,461,Ереминское с.
10,462,Еремковское с.
10,463,Ерзовское с.
10,464,Жуковское с.
10,465,Кашмакское с.
10,466,Коркинское с.
10,467,Кошукское с.
10,468,Крутологский и Калачинский п.
10,469,Крутореченский пос.
10,470,Кумарьинское с.
10,471,Куминовское с.
10,472,Ленское с.
10,473,Леонтьевское с.
10,474,Липовское с.
10,475,Малое Городище с.
10,476,Николаевское с.
10,477,Ново-Троицкое с.
10,478,Оверинское с.
10,479,Озерский пос.
10,480,Олгун-Шошский пос.
10,481,Пальменское с.
10,482,Пауло-Шаимское с.
10,483,Пелымское с.
10,484,Пушкаревское с.
10,485,Санкинское с.
10,486,Сатыгинское с.
10,487,Сладковское с.
10,488,Таборинское с.
10,489,Таволжанское с.
10,490,Туринск г.
10,491,Туринская Слобода с.
10,492,Турхан-Шошский пос.
10,493,Усениновское с.
10,494,Ушкевский и Торлинский пос.
10,495,Чернавское с.
10,496,Чукреевское с.
10,497,Шабуровское с.
10,498,Шевелевское с.
10,499,Шухруповское с.
11,500,Заводоуспенское с. (Успенск. з.)
11,501,Кармакское с.
11,502,Липчинское с.
11,503,Скородумское с.
11,504,Тимофеевское с.
11,505,Тугулымское с.
11,506,Усть-Ницинское с.
11,507,Фоминское с.
11,508,Яланское с.
12,509,Бакланское с. (Бакланская сл.)
12,510,Балинское с.
12,511,Барневское с.
12,512,Басмановское с.
12,513,Батуринское с. (Батуринская сл.)
12,514,Белоярское с.
12,515,Биликульское с.
12,516,Богословское с.= Памылово с.
12,517,Бродокалматское с. (Бродокалматская сл.)
12,518,Бугаевское с.
12,519,Буткинское с. (Буткинская сл.)
12,520,"Верхне-Апостольское с. (Нижне-Петропавловское, Петропавловское)"
12,522,Верхне-Ярское с.
12,523,Верх-Теченское с.
12,524,Водениковское с.
12,525,Вознесенское с. (Вознесенская сл.)
12,526,Вороновское с. (Вороновская д.)
12,527,Галкинское с.
12,528,Горскинское с.
12,529,Далматов г.
12,530,Дрянновское с.
12,531,Житниковское с.= Житошковское с.
12,532,Замараевское с. (Замараевская сл.)
12,533,Иванищевское с.
12,534,Изъедугинское с.
12,535,Ирюмское с. (Ирюмская сл.)
12,536,Ичкинское с. (Ичкинская сл.)
12,537,Кабанское с. (Кабанская сл.)
12,538,Казаковское с.
12,539,Канашевское с.
12,540,Каргапольское с. (Каргапольская сл.)
12,541,Катарацкое с.
12,542,Ключевское с.
12,543,Кондинское с. (Кондинская сл.)
12,544,Красномысское с. (Красномысская сл.)
12,545,Кривское с.
12,546,Крутихинское с. (Крутихинская сл.)
12,547,Лобановское с.
12,548,Макаровское с. (Макаровская сл.)
12,549,Маслянское с.
12,550,Мехонское с. (Мехонская сл.)
12,551,Ново-Торжское с.
12,552,Ольховское с. (Ольховская сл.)
12,553,Ольховско-Озерское с.
12,554,Осиновское с.
12,555,Пеньковское с.
12,557,Першинское с. (Першинская сл.)
12,558,Песковское с.
12,559,"Песчано-Таволжанское с. (Песчаное, Песчано-Таволжское)"
12,560,"Песчанское с. (Песчаная, Песчанская сл.)"
12,561,Петропавловское с. (Новопетропавловское)
12,562,Петропавловское с. (Петропавловская сл.)
12,563,Погадайское с.
12,564,Полевское с.
12,565,Потанинское с.
12,566,Прошкинское с.
12,567,Сладчанское с.
12,568,Смолинское с.
12,569,Соровское с.
12,570,Сосновское с.
12,571,Сухринское с. (Сухринская сл.)
12,572,Теренкульское с.
12,573,Теченское с.
12,574,Уксянское с. (Уксянская сл.)
12,575,Улугушское с.
12,576,Усть-Миасское с. (Усть-Миасская сл.)
12,577,Шадринск г.
12,578,Широковское с.
1,579,Бояршино с. (Новоселовская вол.)
1,580,Гаевское с.
1,581,Горбуновское с.
1,582,Екатерининское с.
1,583,Кордюковское с.
2,585,"Карасе-Истокское с. (Истокское, Троицкое)"
2,586,Кунарское с.
11,587,Трошкова д.
2,588,Ново-Кривковское с.
10,589,Устиновское с./д.
4,590,Больше-Камышевское с.
4,591,Гуни с.
4,592,Занинское с.
4,593,Шанауринское с.
5,594,Махановское с.
5,595,Казаковское с.
10,596,Крутая д.
2,597,Ново-Воскресенское с.
5,598,Суворская д.
1,599,Невьянский з.
1,600,Знаменское с.
1,601,Кайгородское с. (см. также в Екатер. уезде)
2,602,Петрокаменский з.
2,603,Становая д.
6,604,Сухоложское с.
2,639,Николае-Боевское с.
2,651,Нижнекыштымский з.
1,652,Николаевское исправительное арестанское отделение
4,605,Верх-Ницинское с. (Верх-Ницинская сл.)
1,607,Аятское с. (Аятская сл.)
6,608,Бисертская кр.
2,609,Большебрусянское с.
2,610,Метлинское с. (Метлино)
1,611,Выйский з.
5,614,Ертарское с.
6,615,Златоустовское с.
5,616,Латышевское с.
5,617,Каменское с.
2,618,Каменский з. (Каменское с.)
1,619,Фоминский пог.
5,620,Катайский остр.
6,621,Киргишанская кр.
6,622,Кленовская кр.
5,623,Колчеданский остр.
2,624,Коневская кр.
4,626,Красносельское с.
4,627,Краснослободское с.
1,628,Липовское с.
1,629,Караульское с.
1,633,Нижнебаранчинский з.
13,634,Метрические записи по единоверцам
14,635,Метрические записи по единоверцам
2,636,Тугулымское с.
2,637,Уткинская казенная пристань
1,638,Черемисское с. (Черемисская сл.)
12,640,Нижне-Петропавловское с. (Петропавловское)
6,641,Афанасьевское с.
1,642,Махневское с.
1,643,Нейво-Шайтанский з.
1,644,Сусанский з.
1,645,Шайтанский з.
1,646,Павловское с.
1,647,Шиловка с.
1,648,Андриановичи с.
2,649,Полдневское с. (6 благочиние)
2,650,Ново-Уткинский з.
